Item #;Designator;Quantity;Manufacturer;Mfg Part #;Description / Value;Package / Footprint;Notes
1;U1;1;Monolithic Power Systems;MA600AGQE-0000-Z;Magnetic angle sensor;QFN-16 3x3 wettable flank;Factory-default configuration
2;U2;1;Monolithic Power Systems;MP20056GJ-33-Z;3.3V low-noise LDO;TSOT23-5;Fixed 3.3V
3;J1;1;JST;SM06B-GHS-TB(LF)(SN);6-pin keyed right-angle connector;JST GH 1.25mm;Mating housing GHR-06V-S
4;C1;1;ANY;TBD;2.2uF 10V X7R;0603;LDO input bypass
5;C2;1;ANY;TBD;4.7uF 10V X7R;0603;LDO output bypass
6;C3;1;ANY;TBD;1uF 10V X7R;0402;MA600A AVDD bypass
7;C4;1;ANY;TBD;0.1uF 16V X7R;0402;MA600A DVDD bypass
