Ref,Val,Package,PosX,PosY,Rot,Side
"C1","2.2uF","C_0603_1608Metric",14.000000,9.300000,0.000000,top
"C2","4.7uF","C_0603_1608Metric",14.000000,2.800000,0.000000,top
"C3","1uF","C_0402_1005Metric",10.500000,9.000000,90.000000,top
"C4","0.1uF","C_0402_1005Metric",10.500000,6.500000,90.000000,top
"J1","JST-GH-6","JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal",24.500000,6.000000,90.000000,top
"U1","MA600A","MA600A_QFN16_3x3_EP1.7",4.000000,6.000000,0.000000,top
"U2","MP20056GJ-33","MP20056_TSOT23_5",14.000000,6.000000,0.000000,top
