Designator,Quantity,Manufacturer,Manufacturer Part Number,Value,Footprint,Assembly
C1,1,Murata,GRM188R71A225KE15D,2.2uF,RefWinch:C_0603_1608Metric,Top
C2,1,Murata,GRM188Z71A475KE15D,4.7uF,RefWinch:C_0603_1608Metric,Top
C3,1,Murata,GRM155Z71A105KE01D,1uF,RefWinch:C_0402_1005Metric,Top
C4,1,Murata,GRM155R71C104KA88D,0.1uF,RefWinch:C_0402_1005Metric,Top
J1,1,JST,SM06B-GHS-TB(LF)(SN),JST-GH-6,RefWinch:JST_GH_SM06B-GHS-TB_1x06-1MP_P1.25mm_Horizontal,Top
U1,1,Monolithic Power Systems,MA600AGQE-0000-Z,MA600A,RefWinch:MA600A_QFN16_3x3_EP1.7,Top
U2,1,Monolithic Power Systems,MP20056GJ-33-Z,MP20056GJ-33,RefWinch:MP20056_TSOT23_5,Top
